SHOW,STAR,,,,,,,,
FORT LARAMIE,Raymond Burr,Vic Perrin,Jack Moyles,,,,,,
THE ADVENTURES OF FRANK RACE,Tom Collins,Paul Dubov,,,,,,,
FREEDOM USA,Tyrone Power,,,,,,,,
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Gale Gordon,Maurice Franklin,Bruno Wick,Teddy Bergman,Everett Sloane,Charlie Cantor,Ray Collins,,
THE FRED ALLEN SHOW,Fred Allen,Portland Hoffa,,,,,,,
THE FIRST NIGHTER PROGRAM,Barbara Luddy,Olan Soule,,,,,,,
FATHER KNOWS BEST,Robert Young,Jean Vander Pyl,Rhoda Williams,Ted Donaldson,Helen Strong,Eleanor Audley,Herb Vigran,Sam Edwards,
THE ADVENTURES OF FRANK MERRIWELL,Lawson Zerby,Hal Studer,Elaine Rost,,,,,,
FRONT AND CENTER,Dorothy Lamour,,,,,,,,
FRONTIER TOWN,Reed Hadley,,,,,,,,
FAMILY PORTRAIT,Harry Babbitt,,,,,,,,
THE FAT MAN,J. Scott Smart,,,,,,,,
THE FEELING IS MUTUAL,Andy Williams,4 Little Sisters,Harry Zimmerman Orchestra,,,,,,
FITCH BANDWAGON,Cass Daley,Dink Trout,,,,,,,
FOLLOW THE MOON,Elsie Hicks,Nick Dawson,,,,,,,
FURLOUGH FUN,George Riley,Spike Jones and his Band,,,,,,,
THE FOUNTAIN OF FUN,Phil Brito,The Thrasher Sisters,,,,,,,
THE FIRE CHIEF PROGRAM,Ed Wynn,,,,,,,,
FIFTH ROW CENTER,Simone Simon,Olan Soule,,,,,,,
FOREIGN ASSIGNMENT,Jay Jostyn,Vicki Viola,,,,,,,
FOUR KINGS AND A QUEEN,Keener,Whitey Henry,Jimmy Skrogie,Vickie Barrie,,,,,
THE FRANK MORGAN SHOW,Cass Dailey,Eric Blore,,,,,,,
THE FIGHTING PARSON,Reverend E.J. Rawlings,,,,,,,,
FUN FEST,Red Corcoran,Ken Brown,The King's Men,,,,,,
THE ADVENTURES OF FATHER BROWN,Karl Swenson,,,,,,,,
FOUR STAR PLAYHOUSE,Robert Cummings,Rosalind Russell,Fred MacMurray,,,,,,
THE FRANK PARKER SHOW,Frank Parker,,,,,,,,
THE FRED WARING SHOW,Fred Waring,,,,,,,,
FLIT FROLICS,Hal Kanner's Little Band,Jimmy Atkins,,,,,,,
FUN AT BREAKFAST,Ford Bond,Tom Howard,George Shelton,,,,,,
THE FIRE CHIEF CONCERT,Donald Novis,Gloria Grafton,Charles Henderson's Singing Razorbacks,,,,,,
THE CRIME FILES OF FLAMOND,William Everett,Patricia Dunlap,,,,,,,
THE FRANK FONTAINE SHOW,Frank Fontaine,The Fontaine Children,,,,,,,
FAMOUS ROMANCES,William Farnum,Martha Wentworth,,,,,,,
FLIGHT WITH MUSIC,Marion Hutton,,,,,,,,
FRONTIER THEATER,Joel McCrea,,,,,,,,
FRESH-UP SHOW,Bert Lahr,,,,,,,,
THE GREAT GILDERSLEEVE,Harold Peary,Willard Waterman,Walter Tetley,Earle Ross,Richard LeGrand,Lillian Randolph,,,
GRAND MARQUEE,Jim Ameche,Olan Soule,Beryl Vaughn,,,,,,
THE GREEN LAMA,Paul Frees,,,,,,,,
THE GREATEST STORY EVER TOLD,Warren Parker,,,,,,,,
GOOD NEWS OF 1940,Robert Young,Frank Morgan,Fanny Brice,Hanley Stafford,Connee Boswell,,,,
THE GORDON MACRAE SHOW,Gordon MacRae,,,,,,,,
GRANBY’S GREEN ACRES,Gale Gordon,Bea Benadaret,Louise Erickson,Parley Baer,,,,,
FAVORITE SPORTS STORIES OF GRANTLAND RICE,Grantland Rice,,,,,,,,
THE GUY LOMBARDO SHOW,Guy Lombardo and His Royal Canadians,,,,,,,,
THE GENERAL,Roy Shields and his Orchestra,,,,,,,,
GAY NINETIES REVIEW,Beatrice Kay,,,,,,,,
THE GENTLEMAN ADVENTURER,James Mehan,,,,,,,,
THE GOOD GULF PROGRAM,Will Rogers,Al Goodman,The Revelers,,,,,,
THE GEORGE BYRON SHOW,George Byron,,,,,,,,
GASOLINE ALLEY,Bill Lipton,Mason Adams,,,,,,,
GRAND HOTEL,Barbara Luddy,Olan Soule,,,,,,,
GULFSPRAY PRESENTS,Jerry Wayne,Peg La Centra,,,,,,,
HAVE GUN WILL TRAVEL,John Dehner,,,,,,,,
HOPALONG CASSIDY,William Boyd,Andy Clyde,,,,,,,
THE ADVENTURES OF HORATIO HORNBLOWER,Michael Redgrave,,,,,,,,
THE HARVEST OF STARS,James Melton,,,,,,,,
THE HALLS OF IVY,Ronald Colman,Benita Hume,,,,,,,
THE HENRY MORGAN SHOW,Henry Morgan,,,,,,,,
HERCULE POIROT,Harold Huber,,,,,,,,
