Source,Target,Type,Label
Merle Travis,Texanne Nation,Undirected,HARMONY HOMESTEAD
Tex Saunders,Texanne Nation,Undirected,HARMONY HOMESTEAD
Hugh Douglas,John Dehner,Undirected,HAVE GUN WILL TRAVEL
Bernard Dudley,Hedda Hopper,Undirected,HEDDA HOPPER'S HOLLYWOOD
Frank Gallop,Helen Hayes,Undirected,HELEN HAYES THEATER
Dan Seymour,Hildegarde,Undirected,HILDEGARDE
Jim Backus,Virginia Fields,Undirected,HIS AND HERS
Carlton Warren,Stan Lomax,Undirected,HIT THAT BALL
Dick Powell,Fred Macmurray,Undirected,HOLLYWOOD HOTEL
Dick Powell,Jerry Cooper,Undirected,HOLLYWOOD HOTEL
Dick Powell,Ken Murray,Undirected,HOLLYWOOD HOTEL
Fred Macmurray,Jerry Cooper,Undirected,HOLLYWOOD HOTEL
Fred Macmurray,Ken Murray,Undirected,HOLLYWOOD HOTEL
Jerry Cooper,Ken Murray,Undirected,HOLLYWOOD HOTEL
Don Wilson,Lanny Ross,Undirected,HOLLYWOOD MARDI GRAS
Bob Burns,Larry Burke,Undirected,HOLLYWOOD SPOTLIGHT
Bob Burns,Leah Ray,Undirected,HOLLYWOOD SPOTLIGHT
Bob Burns,Phil Harris,Undirected,HOLLYWOOD SPOTLIGHT
Bob Burns,Tom Jaffrey,Undirected,HOLLYWOOD SPOTLIGHT
Larry Burke,Leah Ray,Undirected,HOLLYWOOD SPOTLIGHT
Larry Burke,Phil Harris,Undirected,HOLLYWOOD SPOTLIGHT
Larry Burke,Tom Jaffrey,Undirected,HOLLYWOOD SPOTLIGHT
Leah Ray,Phil Harris,Undirected,HOLLYWOOD SPOTLIGHT
Leah Ray,Tom Jaffrey,Undirected,HOLLYWOOD SPOTLIGHT
Phil Harris,Tom Jaffrey,Undirected,HOLLYWOOD SPOTLIGHT
Norman Brokenshire,Wendell Niles,Undirected,HOLLYWOOD STAR PLAYHOUSE
Adolphe Menjou,Ken Peters,Undirected,HOLLYWOOD STAR PREVIEW
Herbert Marshall,Wendell Niles,Undirected,HOLLYWOOD STAR TIME
Chris Kenyon,Richard Stark,Undirected,HOLLYWOOD STORY
Chris Kenyon,Vivi Janiss,Undirected,HOLLYWOOD STORY
Richard Stark,Vivi Janiss,Undirected,HOLLYWOOD STORY
Henny Youngman,Jim Ameche,Undirected,HOLLYWOOD'S OPEN HOUSE
John Heston,Richard Le Grand,Undirected,HOMICIDE O'KANE
Ed Herlihy,Wayne Howell,Undirected,HONEYMOON IN NEW YORK
Andy Clyde,William Boyd,Undirected,HOPALONG CASSIDY
George Shelton,Tom Howard,Undirected,HOWARD AND SHELTON
Georgia Ellis,Hugh Douglas,Undirected,I COVER HOLLYWOOD
Georgia Ellis,Michael O'shea,Undirected,I COVER HOLLYWOOD
Hugh Douglas,Michael O'shea,Undirected,I COVER HOLLYWOOD
Dan Cubberly,Larry Thor,Undirected,I COVER THE WATERFRONT
Dresser Dahlstead,William Gargan,Undirected,I DEAL IN CRIME
Dick Haymes,George Fenneman,Undirected,I FLY ANYTHING
Dick Haymes,Georgia Ellis,Undirected,I FLY ANYTHING
George Fenneman,Georgia Ellis,Undirected,I FLY ANYTHING
Barton Yarborough,Gloria Blondell,Undirected,I LOVE A MYSTERY
Barton Yarborough,Michael Raffetto,Undirected,I LOVE A MYSTERY
Gloria Blondell,Michael Raffetto,Undirected,I LOVE A MYSTERY
Barton Yarborough,Gloria Blondell,Undirected,I LOVE ADVENTURE
Barton Yarborough,Michael Raffetto,Undirected,I LOVE ADVENTURE
Barton Yarborough,Tom Collins,Undirected,I LOVE ADVENTURE
Gloria Blondell,Michael Raffetto,Undirected,I LOVE ADVENTURE
Gloria Blondell,Tom Collins,Undirected,I LOVE ADVENTURE
Michael Raffetto,Tom Collins,Undirected,I LOVE ADVENTURE
Dana Andrews,Truman Bradley,Undirected,I WAS A COMMUNIST FOR THE FBI
Don Prindle,Wendell Niles,Undirected,ICE BOX FOLLIES
Andre Baruch,Walter B. Pitkin,Undirected,IF I COULD LIVE IT OVER
Ben Grauer,Clifton Fadiman,Undirected,INFORMATION PLEASEX
Ed Herlihy,Raymond Edward Johnson,Undirected,INNER SANCTUM MYSTERIES
Clare Boreum,Jerry Walter,Undirected,ISLAND VENTURE
Clare Boreum,Jonathan Hale,Undirected,ISLAND VENTURE
Clare Boreum,Norman Gottschalk,Undirected,ISLAND VENTURE
Jerry Walter,Jonathan Hale,Undirected,ISLAND VENTURE
Jerry Walter,Norman Gottschalk,Undirected,ISLAND VENTURE
Jonathan Hale,Norman Gottschalk,Undirected,ISLAND VENTURE
John Conte,Martha Mears,Undirected,IT HAPPENED IN HOLLYWOOD
Coleen Collins,John Stevenson,Undirected,IT'S ALWAYS SUNDAY
Coleen Collins,Nancy Mccullom,Undirected,IT'S ALWAYS SUNDAY
Coleen Collins,Roy Rowan,Undirected,IT'S ALWAYS SUNDAY
John Stevenson,Nancy Mccullom,Undirected,IT'S ALWAYS SUNDAY
John Stevenson,Roy Rowan,Undirected,IT'S ALWAYS SUNDAY
Nancy Mccullom,Roy Rowan,Undirected,IT'S ALWAYS SUNDAY
Alice Faye,Hal Kemp Orchestra,Undirected,IT'S CHESTERFIELD TIME
Harry Mcnaughton,Peggy Allenby,Undirected,IT'S HIGGINS SIR
Harry Mcnaughton,Vinton Hayworth,Undirected,IT'S HIGGINS SIR
Peggy Allenby,Vinton Hayworth,Undirected,IT'S HIGGINS SIR
Don Hurst,Dorothy Francis,Undirected,IT'S US AGAIN
Don Hurst,Mark Harris,Undirected,IT'S US AGAIN
Don Hurst,Sandra Lawrence,Undirected,IT'S US AGAIN
Don Hurst,Zelda Rihards,Undirected,IT'S US AGAIN
Dorothy Francis,Mark Harris,Undirected,IT'S US AGAIN
Dorothy Francis,Sandra Lawrence,Undirected,IT'S US AGAIN
Dorothy Francis,Zelda Rihards,Undirected,IT'S US AGAIN
Mark Harris,Sandra Lawrence,Undirected,IT'S US AGAIN
Mark Harris,Zelda Rihards,Undirected,IT'S US AGAIN
Sandra Lawrence,Zelda Rihards,Undirected,IT'S US AGAIN
Charles Flynn,Jim Goss,Undirected,JACK ARMSTRONG THE ALL AMERICAN BOY
Jack Fina,Johnny Greenhouse,Undirected,JACK FINA ORCHESTRA
Frank Graham,Frank Nelson,Undirected,JEFF REGAN INVESTIGATOR
Frank Graham,Jack Webb,Undirected,JEFF REGAN INVESTIGATOR
Frank Graham,Paul Dubov,Undirected,JEFF REGAN INVESTIGATOR
Frank Graham,Wilms Herbert,Undirected,JEFF REGAN INVESTIGATOR
Frank Nelson,Jack Webb,Undirected,JEFF REGAN INVESTIGATOR
Frank Nelson,Paul Dubov,Undirected,JEFF REGAN INVESTIGATOR
Frank Nelson,Wilms Herbert,Undirected,JEFF REGAN INVESTIGATOR
Jack Webb,Paul Dubov,Undirected,JEFF REGAN INVESTIGATOR
Jack Webb,Wilms Herbert,Undirected,JEFF REGAN INVESTIGATOR
Paul Dubov,Wilms Herbert,Undirected,JEFF REGAN INVESTIGATOR
Jimmy Blade,Richard Page,Undirected,JIMMY BLADE AND HIS MUSIC
Ernest Chappell,Jimmy Carroll,Undirected,JIMMY CARROLL SINGS
Ernest Chappell,Squibb Chorus,Undirected,JIMMY CARROLL SINGS
Ernest Chappell,Ted Dale Orchestra,Undirected,JIMMY CARROLL SINGS
Jimmy Carroll,Squibb Chorus,Undirected,JIMMY CARROLL SINGS
Jimmy Carroll,Ted Dale Orchestra,Undirected,JIMMY CARROLL SINGS
Squibb Chorus,Ted Dale Orchestra,Undirected,JIMMY CARROLL SINGS
Harry Von Zell,Jimmy Fidler,Undirected,JIMMY FIDLER SHOW
John Boles,Ken Carpenter,Undirected,JOHN BOLES HOLLYWOOD EXTRA
George Putnam,John J. Anthony,Undirected,JOHN J ANTHONY
Bill Steinke,Pat Pritchard,Undirected,JOLLY BILL AND JANE
Harry Hickox,Johnny Mcgovern,Undirected,JUMP JUMP AND THE ICE QUEEN
Harry Hickox,Mary Mcconnell,Undirected,JUMP JUMP AND THE ICE QUEEN
Johnny Mcgovern,Mary Mcconnell,Undirected,JUMP JUMP AND THE ICE QUEEN
Jack Barry,Russ Dunbar,Undirected,JUNIOR CELEBRITIES
Barbara Whiting,Gale Gordon,Undirected,JUNIOR MISS
Barbara Whiting,Roy Rowan,Undirected,JUNIOR MISS
Gale Gordon,Roy Rowan,Undirected,JUNIOR MISS
Marian Morgan,Pat Butrum,Undirected,JUST ENTERTAINMENT
Bob Eberle,Buddy Clark,Undirected,JUST FOR YOU
Charlie Cantor,Frank Nelson,Undirected,JUST OUTSIDE HOLLYWOOD
Charlie Cantor,Hanley Stafford,Undirected,JUST OUTSIDE HOLLYWOOD
Charlie Cantor,John Brown,Undirected,JUST OUTSIDE HOLLYWOOD
Charlie Cantor,Ken Niles,Undirected,JUST OUTSIDE HOLLYWOOD
Frank Nelson,Hanley Stafford,Undirected,JUST OUTSIDE HOLLYWOOD
Frank Nelson,John Brown,Undirected,JUST OUTSIDE HOLLYWOOD
Frank Nelson,Ken Niles,Undirected,JUST OUTSIDE HOLLYWOOD
Hanley Stafford,John Brown,Undirected,JUST OUTSIDE HOLLYWOOD
Hanley Stafford,Ken Niles,Undirected,JUST OUTSIDE HOLLYWOOD
John Brown,Ken Niles,Undirected,JUST OUTSIDE HOLLYWOOD
Jack Barry,John Scott,Undirected,JUVENILE JURY
Billy White,Bruce Kamman,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Cecil Roy,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Jim Jordan,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Johnny Wolfe,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Marian Jordon,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Merrill Fugit,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Billy White,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Cecil Roy,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Jim Jordan,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Johnny Wolfe,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Marian Jordon,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Merrill Fugit,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Bruce Kamman,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Cecil Roy,Jim Jordan,Undirected,KALTENMEYER'S KINDERGARTEN
Cecil Roy,Johnny Wolfe,Undirected,KALTENMEYER'S KINDERGARTEN
Cecil Roy,Marian Jordon,Undirected,KALTENMEYER'S KINDERGARTEN
Cecil Roy,Merrill Fugit,Undirected,KALTENMEYER'S KINDERGARTEN
Cecil Roy,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Cecil Roy,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Jim Jordan,Johnny Wolfe,Undirected,KALTENMEYER'S KINDERGARTEN
Jim Jordan,Marian Jordon,Undirected,KALTENMEYER'S KINDERGARTEN
Jim Jordan,Merrill Fugit,Undirected,KALTENMEYER'S KINDERGARTEN
Jim Jordan,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Jim Jordan,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Johnny Wolfe,Marian Jordon,Undirected,KALTENMEYER'S KINDERGARTEN
Johnny Wolfe,Merrill Fugit,Undirected,KALTENMEYER'S KINDERGARTEN
Johnny Wolfe,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Johnny Wolfe,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Marian Jordon,Merrill Fugit,Undirected,KALTENMEYER'S KINDERGARTEN
Marian Jordon,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Marian Jordon,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Merrill Fugit,Sidney Ellstrom,Undirected,KALTENMEYER'S KINDERGARTEN
Merrill Fugit,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Sidney Ellstrom,Thor Ericson,Undirected,KALTENMEYER'S KINDERGARTEN
Kate Smith,Ted Collins,Undirected,KATE SMITH SPEAKS
Harry Babbitt,Kay Kysar,Undirected,KAY KYSER'S KOLLEGE OF MUSICAL KNOWLEDGE
Harry Babbitt,Merwyn Bogue,Undirected,KAY KYSER'S KOLLEGE OF MUSICAL KNOWLEDGE
Kay Kysar,Merwyn Bogue,Undirected,KAY KYSER'S KOLLEGE OF MUSICAL KNOWLEDGE
Harry Babbitt,Rod O'connor,Undirected,KEEP IT IN THE FAMILY
John M Kennedy,Richard Dix,Undirected,KING OF THE ROYAL MOUNTED
Anne Seymour,Dick Wells,Undirected,KNICKERBOCKER PLAYHOUSE
Anne Seymour,Elliott Lewis,Undirected,KNICKERBOCKER PLAYHOUSE
Dick Wells,Elliott Lewis,Undirected,KNICKERBOCKER PLAYHOUSE
Al Jolson,Edward Everett Horton,Undirected,KRAFT MUSIC HALL
Al Jolson,Les Tremayne,Undirected,KRAFT MUSIC HALL
Edward Everett Horton,Les Tremayne,Undirected,KRAFT MUSIC HALL
Bud Hiestand,Kay Kyser,Undirected,KYSER KOLLEGE OF FUN AND KNOWLEDGE
Ed Prentiss,Johnny Olson,Undirected,LADIES BE SEATED
Eve Arden,Ken Murray,Undirected,LAUGH WITH KEN MURRAY
Eve Arden,Phil Regan,Undirected,LAUGH WITH KEN MURRAY
Ken Murray,Phil Regan,Undirected,LAUGH WITH KEN MURRAY
Art Lewis,Jim Westover,Undirected,LAZY LISTENIN' TIME
Estelle Levy,Martin Gabel,Undirected,LES MISERABLES
Estelle Levy,Orson Welles,Undirected,LES MISERABLES
Estelle Levy,Virginia Welles,Undirected,LES MISERABLES
Martin Gabel,Orson Welles,Undirected,LES MISERABLES
Martin Gabel,Virginia Welles,Undirected,LES MISERABLES
Orson Welles,Virginia Welles,Undirected,LES MISERABLES
Bob Bailey,Eddie Firestone Jr,Undirected,LET GEORGE DO IT
Bob Bailey,Francis Robinson,Undirected,LET GEORGE DO IT
Bob Bailey,Joe Kearn,Undirected,LET GEORGE DO IT
Bob Bailey,Olan Soule,Undirected,LET GEORGE DO IT
Bob Bailey,Virginia Gregg,Undirected,LET GEORGE DO IT
Eddie Firestone Jr,Francis Robinson,Undirected,LET GEORGE DO IT
Eddie Firestone Jr,Joe Kearn,Undirected,LET GEORGE DO IT
Eddie Firestone Jr,Olan Soule,Undirected,LET GEORGE DO IT
Eddie Firestone Jr,Virginia Gregg,Undirected,LET GEORGE DO IT
Francis Robinson,Joe Kearn,Undirected,LET GEORGE DO IT
Francis Robinson,Olan Soule,Undirected,LET GEORGE DO IT
Francis Robinson,Virginia Gregg,Undirected,LET GEORGE DO IT
Joe Kearn,Olan Soule,Undirected,LET GEORGE DO IT
Joe Kearn,Virginia Gregg,Undirected,LET GEORGE DO IT
Olan Soule,Virginia Gregg,Undirected,LET GEORGE DO IT
Joe Bessor,Ken Roberts,Undirected,LET YOURSELF GO
Joe Bessor,Martha Tilton,Undirected,LET YOURSELF GO
Joe Bessor,Milton Berle,Undirected,LET YOURSELF GO
Ken Roberts,Martha Tilton,Undirected,LET YOURSELF GO
Ken Roberts,Milton Berle,Undirected,LET YOURSELF GO
Martha Tilton,Milton Berle,Undirected,LET YOURSELF GO
Howard Petrie,Jane Withers,Undirected,LET'S GO TO SLAPSIE'S
Howard Petrie,Maxie Rosenbloom,Undirected,LET'S GO TO SLAPSIE'S
Jane Withers,Maxie Rosenbloom,Undirected,LET'S GO TO SLAPSIE'S
Gary Morton,Lucille Ball,Undirected,LET'S TALK TO LUCY
Alan Reed,Gil Stratton,Undirected,LIFE WITH LUIGI
Alan Reed,Hans Conried,Undirected,LIFE WITH LUIGI
Alan Reed,J. Carrol Naish,Undirected,LIFE WITH LUIGI
Alan Reed,Jody Gilbert,Undirected,LIFE WITH LUIGI
Alan Reed,Joe Forte,Undirected,LIFE WITH LUIGI
Alan Reed,Ken Peters,Undirected,LIFE WITH LUIGI
Alan Reed,Mary Shipp,Undirected,LIFE WITH LUIGI
Gil Stratton,Hans Conried,Undirected,LIFE WITH LUIGI
Gil Stratton,J. Carrol Naish,Undirected,LIFE WITH LUIGI
Gil Stratton,Jody Gilbert,Undirected,LIFE WITH LUIGI
Gil Stratton,Joe Forte,Undirected,LIFE WITH LUIGI
Gil Stratton,Ken Peters,Undirected,LIFE WITH LUIGI
Gil Stratton,Mary Shipp,Undirected,LIFE WITH LUIGI
Hans Conried,J. Carrol Naish,Undirected,LIFE WITH LUIGI
Hans Conried,Jody Gilbert,Undirected,LIFE WITH LUIGI
Hans Conried,Joe Forte,Undirected,LIFE WITH LUIGI
Hans Conried,Ken Peters,Undirected,LIFE WITH LUIGI
Hans Conried,Mary Shipp,Undirected,LIFE WITH LUIGI
J. Carrol Naish,Jody Gilbert,Undirected,LIFE WITH LUIGI
J. Carrol Naish,Joe Forte,Undirected,LIFE WITH LUIGI
J. Carrol Naish,Ken Peters,Undirected,LIFE WITH LUIGI
J. Carrol Naish,Mary Shipp,Undirected,LIFE WITH LUIGI
Jody Gilbert,Joe Forte,Undirected,LIFE WITH LUIGI
Jody Gilbert,Ken Peters,Undirected,LIFE WITH LUIGI
Jody Gilbert,Mary Shipp,Undirected,LIFE WITH LUIGI
Joe Forte,Ken Peters,Undirected,LIFE WITH LUIGI
Joe Forte,Mary Shipp,Undirected,LIFE WITH LUIGI
Ken Peters,Mary Shipp,Undirected,LIFE WITH LUIGI
Bill Johnstone,Jack Moyles,Undirected,LINEUP
Georgia Gibbs,Tony Martin,Undirected,LISTEN TO A LOVE SONG
Ben Grauer,Robert Warren,Undirected,LIVING IN AN ATOMIC AGE
Lanny Ross,Pauline Alpert,Undirected,LOG CABIN INN
Lanny Ross,Tiny Ruffner,Undirected,LOG CABIN INN
Pauline Alpert,Tiny Ruffner,Undirected,LOG CABIN INN
Durward Kirby,Eloise Kummer,Undirected,LONE JOURNEY
Durward Kirby,Les Damon,Undirected,LONE JOURNEY
Eloise Kummer,Les Damon,Undirected,LONE JOURNEY
Dick Winn,Gerald Mohr,Undirected,LONE WOLF
Dick Winn,Jay Novello,Undirected,LONE WOLF
Gerald Mohr,Jay Novello,Undirected,LONE WOLF
Bill Shipley,Richard Willis,Undirected,LOOK YOUR BEST
Betty Taylor,George Putnam,Undirected,LUCKY U RANCH
Betty Taylor,Ken Curtis,Undirected,LUCKY U RANCH
Betty Taylor,Shug Fisher,Undirected,LUCKY U RANCH
George Putnam,Ken Curtis,Undirected,LUCKY U RANCH
George Putnam,Shug Fisher,Undirected,LUCKY U RANCH
Ken Curtis,Shug Fisher,Undirected,LUCKY U RANCH
Juano Hernandez,Raymond Edward Johnson,Undirected,MANDRAKE THE MAGICIAN
Frances Langford,Larry Haines,Undirected,MANHUNT
Billy Strange,Harry Babbitt,Undirected,MATINEE
Billy Strange,Marion Morgan,Undirected,MATINEE
Harry Babbitt,Marion Morgan,Undirected,MATINEE
Martin Gabel,Victor Jory,Undirected,MATINEE THEATER
Alvino Rey,Maxine Gray,Undirected,MAXINE GRAY ENTERTAINS
Alvino Rey,Rolley Thomas,Undirected,MAXINE GRAY ENTERTAINS
Maxine Gray,Rolley Thomas,Undirected,MAXINE GRAY ENTERTAINS
Agnes Moorehead,Harlow Wilcox,Undirected,MAYOR OF THE TOWN
Agnes Moorehead,Lionel Barrymore,Undirected,MAYOR OF THE TOWN
Harlow Wilcox,Lionel Barrymore,Undirected,MAYOR OF THE TOWN
Harry Von Zell,Ozzie Dunn,Undirected,MCALEER MELODISTS
Harry Von Zell,Scrappy Lambert,Undirected,MCALEER MELODISTS
Ozzie Dunn,Scrappy Lambert,Undirected,MCALEER MELODISTS
Bert Parks,Roger Pryor,Undirected,MCGARRY AND HIS MOUSE
Bert Parks,Shirley Mitchell,Undirected,MCGARRY AND HIS MOUSE
Roger Pryor,Shirley Mitchell,Undirected,MCGARRY AND HIS MOUSE
Ben Grauer,Fred Collins,Undirected,MEDICINE USA
Arlene Becker,Barbara Whiting,Undirected,MEET CORLISS ARCHER
Arlene Becker,Fred Archer,Undirected,MEET CORLISS ARCHER
Arlene Becker,Irene Tedrow,Undirected,MEET CORLISS ARCHER
Arlene Becker,Janet Waldo,Undirected,MEET CORLISS ARCHER
Arlene Becker,Sam Edwards,Undirected,MEET CORLISS ARCHER
Arlene Becker,Tommy Bernard,Undirected,MEET CORLISS ARCHER
Barbara Whiting,Fred Archer,Undirected,MEET CORLISS ARCHER
Barbara Whiting,Irene Tedrow,Undirected,MEET CORLISS ARCHER
Barbara Whiting,Janet Waldo,Undirected,MEET CORLISS ARCHER
Barbara Whiting,Sam Edwards,Undirected,MEET CORLISS ARCHER
Barbara Whiting,Tommy Bernard,Undirected,MEET CORLISS ARCHER
Fred Archer,Irene Tedrow,Undirected,MEET CORLISS ARCHER
Fred Archer,Janet Waldo,Undirected,MEET CORLISS ARCHER
Fred Archer,Sam Edwards,Undirected,MEET CORLISS ARCHER
Fred Archer,Tommy Bernard,Undirected,MEET CORLISS ARCHER
Irene Tedrow,Janet Waldo,Undirected,MEET CORLISS ARCHER
Irene Tedrow,Sam Edwards,Undirected,MEET CORLISS ARCHER
Irene Tedrow,Tommy Bernard,Undirected,MEET CORLISS ARCHER
Janet Waldo,Sam Edwards,Undirected,MEET CORLISS ARCHER
Janet Waldo,Tommy Bernard,Undirected,MEET CORLISS ARCHER
Sam Edwards,Tommy Bernard,Undirected,MEET CORLISS ARCHER
Bill Conrad,Joe Petruzzi,Undirected,MEET MISS SHERLOCK
Bill Conrad,Murray Wagner,Undirected,MEET MISS SHERLOCK
Bill Conrad,Sondra Gair,Undirected,MEET MISS SHERLOCK
Joe Petruzzi,Murray Wagner,Undirected,MEET MISS SHERLOCK
Joe Petruzzi,Sondra Gair,Undirected,MEET MISS SHERLOCK
Murray Wagner,Sondra Gair,Undirected,MEET MISS SHERLOCK
Beryl Vaughn,Forrest Lewis,Undirected,MEET THE MEEKS
Betty Jane Rhodes,Dave Rose Orchestra,Undirected,MEET THE STARS
Betty Jane Rhodes,George Fisher,Undirected,MEET THE STARS
Betty Jane Rhodes,Hugh Brundage,Undirected,MEET THE STARS
Dave Rose Orchestra,George Fisher,Undirected,MEET THE STARS
Dave Rose Orchestra,Hugh Brundage,Undirected,MEET THE STARS
George Fisher,Hugh Brundage,Undirected,MEET THE STARS
Del Sharbutt,Jimmy Durante,Undirected,MELODY AND MADNESS
Del Sharbutt,Robert Benchley,Undirected,MELODY AND MADNESS
Jimmy Durante,Robert Benchley,Undirected,MELODY AND MADNESS
Barbara Luddy,Jess Kirkpatrick,Undirected,MEMO FROM MOLLY
Barbara Luddy,Olan Soule,Undirected,MEMO FROM MOLLY
Barbara Luddy,Roy Rowan,Undirected,MEMO FROM MOLLY
Barbara Luddy,Sarah Selby,Undirected,MEMO FROM MOLLY
Barbara Luddy,Stuffy Singer,Undirected,MEMO FROM MOLLY
Jess Kirkpatrick,Olan Soule,Undirected,MEMO FROM MOLLY
Jess Kirkpatrick,Roy Rowan,Undirected,MEMO FROM MOLLY
Jess Kirkpatrick,Sarah Selby,Undirected,MEMO FROM MOLLY
Jess Kirkpatrick,Stuffy Singer,Undirected,MEMO FROM MOLLY
Olan Soule,Roy Rowan,Undirected,MEMO FROM MOLLY
Olan Soule,Sarah Selby,Undirected,MEMO FROM MOLLY
Olan Soule,Stuffy Singer,Undirected,MEMO FROM MOLLY
Roy Rowan,Sarah Selby,Undirected,MEMO FROM MOLLY
Roy Rowan,Stuffy Singer,Undirected,MEMO FROM MOLLY
Sarah Selby,Stuffy Singer,Undirected,MEMO FROM MOLLY
Hal Hodge,Lowell Cartwright,Undirected,MID-MORNING MATINEE
Mercedes Mccambridge,Olan Soule,Undirected,MIDSTREAM
Eddie Green,Ernest Whitman,Undirected,MIRTH AND MELODY
Eddie Green,Harry Babbitt,Undirected,MIRTH AND MELODY
Eddie Green,Ken Christy,Undirected,MIRTH AND MELODY
Eddie Green,Les Thompson,Undirected,MIRTH AND MELODY
Eddie Green,Martha Tilton,Undirected,MIRTH AND MELODY
Eddie Green,Nickodemus Brown,Undirected,MIRTH AND MELODY
Eddie Green,The Darktown Quartet,Undirected,MIRTH AND MELODY
Ernest Whitman,Harry Babbitt,Undirected,MIRTH AND MELODY
Ernest Whitman,Ken Christy,Undirected,MIRTH AND MELODY
Ernest Whitman,Les Thompson,Undirected,MIRTH AND MELODY
Ernest Whitman,Martha Tilton,Undirected,MIRTH AND MELODY
Ernest Whitman,Nickodemus Brown,Undirected,MIRTH AND MELODY
Ernest Whitman,The Darktown Quartet,Undirected,MIRTH AND MELODY
Harry Babbitt,Ken Christy,Undirected,MIRTH AND MELODY
Harry Babbitt,Les Thompson,Undirected,MIRTH AND MELODY
Harry Babbitt,Martha Tilton,Undirected,MIRTH AND MELODY
Harry Babbitt,Nickodemus Brown,Undirected,MIRTH AND MELODY
Harry Babbitt,The Darktown Quartet,Undirected,MIRTH AND MELODY
Ken Christy,Les Thompson,Undirected,MIRTH AND MELODY
Ken Christy,Martha Tilton,Undirected,MIRTH AND MELODY
Ken Christy,Nickodemus Brown,Undirected,MIRTH AND MELODY
Ken Christy,The Darktown Quartet,Undirected,MIRTH AND MELODY
Les Thompson,Martha Tilton,Undirected,MIRTH AND MELODY
Les Thompson,Nickodemus Brown,Undirected,MIRTH AND MELODY
Les Thompson,The Darktown Quartet,Undirected,MIRTH AND MELODY
Martha Tilton,Nickodemus Brown,Undirected,MIRTH AND MELODY
Martha Tilton,The Darktown Quartet,Undirected,MIRTH AND MELODY
Nickodemus Brown,The Darktown Quartet,Undirected,MIRTH AND MELODY
Don Hurst,Dorothy Francis,Undirected,MORE ABOUT HARRIS
Don Hurst,Mark Harris,Undirected,MORE ABOUT HARRIS
Don Hurst,Sandra Lawrence,Undirected,MORE ABOUT HARRIS
Don Hurst,Zelda Rihards,Undirected,MORE ABOUT HARRIS
Dorothy Francis,Mark Harris,Undirected,MORE ABOUT HARRIS
Dorothy Francis,Sandra Lawrence,Undirected,MORE ABOUT HARRIS
Dorothy Francis,Zelda Rihards,Undirected,MORE ABOUT HARRIS
Mark Harris,Sandra Lawrence,Undirected,MORE ABOUT HARRIS
Mark Harris,Zelda Rihards,Undirected,MORE ABOUT HARRIS
Sandra Lawrence,Zelda Rihards,Undirected,MORE ABOUT HARRIS
Smokey Rogers,Tex Williams,Undirected,MORNING ROUNDUP
Harry Berge,Morton Downey,Undirected,MORTON DOWNEY SHOW
Cliff Hall,Eric Dressler,Undirected,MR. ACE AND JANE
Cliff Hall,Evelyn Varden,Undirected,MR. ACE AND JANE
Cliff Hall,Goodman Ace,Undirected,MR. ACE AND JANE
Cliff Hall,Jane Ace,Undirected,MR. ACE AND JANE
Cliff Hall,John Griggs,Undirected,MR. ACE AND JANE
Cliff Hall,Ken Roberts,Undirected,MR. ACE AND JANE
Cliff Hall,Pert Kelton,Undirected,MR. ACE AND JANE
Eric Dressler,Evelyn Varden,Undirected,MR. ACE AND JANE
Eric Dressler,Goodman Ace,Undirected,MR. ACE AND JANE
Eric Dressler,Jane Ace,Undirected,MR. ACE AND JANE
Eric Dressler,John Griggs,Undirected,MR. ACE AND JANE
Eric Dressler,Ken Roberts,Undirected,MR. ACE AND JANE
Eric Dressler,Pert Kelton,Undirected,MR. ACE AND JANE
Evelyn Varden,Goodman Ace,Undirected,MR. ACE AND JANE
Evelyn Varden,Jane Ace,Undirected,MR. ACE AND JANE
