SHOW,SHOW STAR
DESIGN FOR LISTENING,Jack Haskell
DUDE MARTINâ€_Ã„Ã´S SUNRISE ROUNDUP,Dude Martin
DR PEPPER PARADE,Pick Malone
DR PEPPER PARADE,Pat Padgett
DR PEPPER PARADE,Jack Arthur
DR PEPPER PARADE,Margaret McCrea
DUDE MARTIN'S RADIO RANCHO,Dude Martin
THE EASY ACES,Goodman Ace
THE EASY ACES,Jane Ace
THE EDDIE BRACKEN SHOW,Eddie Bracken
THE EDDIE BRACKEN SHOW,Ann Ruthford
THE EDDIE BRACKEN SHOW,Janet Waldo
THE EDDIE BRACKEN SHOW,William Demarest
THE EMPIRE BUILDERS,Harvey Hayes
THE ADVENTURES OF ELLERY QUEEN,Sydney Smith
THE ADVENTURES OF ELLERY QUEEN,Santos Ortega
THE ADVENTURES OF ELLERY QUEEN,Ted de Corsia
THE ADVENTURES OF ELLERY QUEEN,Barbara Terrell
EASY MONEY,Larry Haines
AN EVENING WITH ROMBERG,Robert Merrill
AN EVENING WITH ROMBERG,Thomas Hayward
THE EDDIE AND RALPH SHOW,Ed East
THE EDDIE AND RALPH SHOW,Ralph Dumke
ELMERâ€_Ã„Ã´S JUKE BOX,Elmer Swenson
THE ENCHANTED HOUR,Nancy Carr
THE ENCHANTED HOUR,Henry Weber Orchestra
EL LOBO RIDES AGAIN,Charlie Lung
ED WYNN SHOW,Ed Wynn
ED WYNN SHOW,Minerva Pios
EDITH ADAMSâ€_Ã„Ã´  FUTURE,Della Louise Orton
EYES WRIGHT,Martha Wright
EYES WRIGHT,The Page Cavanaugh Trio
FRONTIER GENTLEMAN,John Dehner
FORT LARAMIE,Raymond Burr
FORT LARAMIE,Vic Perrin
FORT LARAMIE,Jack Moyles
THE ADVENTURES OF FRANK RACE,Tom Collins
THE ADVENTURES OF FRANK RACE,Paul Dubov
FREEDOM USA,Tyrone Power
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Gale Gordon
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Maurice Franklin
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Bruno Wick
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Teddy Bergman
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Everett Sloane
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Charlie Cantor
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Ray Collins
THE FRED ALLEN SHOW,Fred Allen
THE FRED ALLEN SHOW,Portland Hoffa
THE FIRST NIGHTER PROGRAM,Barbara Luddy
THE FIRST NIGHTER PROGRAM,Olan Soule
FATHER KNOWS BEST,Robert Young
FATHER KNOWS BEST,Jean Vander Pyl
FATHER KNOWS BEST,Rhoda Williams
FATHER KNOWS BEST,Ted Donaldson
FATHER KNOWS BEST,Helen Strong
FATHER KNOWS BEST,Eleanor Audley
FATHER KNOWS BEST,Herb Vigran
FATHER KNOWS BEST,Sam Edwards
THE ADVENTURES OF FRANK MERRIWELL,Lawson Zerby
THE ADVENTURES OF FRANK MERRIWELL,Hal Studer
THE ADVENTURES OF FRANK MERRIWELL,Elaine Rost
FRONT AND CENTER,Dorothy Lamour
FRONTIER TOWN,Reed Hadley
FAMILY PORTRAIT,Harry Babbitt
THE FAT MAN,J. Scott Smart
THE FEELING IS MUTUAL,Andy Williams
THE FEELING IS MUTUAL,4 Little Sisters
THE FEELING IS MUTUAL,Harry Zimmerman Orchestra
FITCH BANDWAGON,Cass Daley
FITCH BANDWAGON,Dink Trout
FOLLOW THE MOON,Elsie Hicks
FOLLOW THE MOON,Nick Dawson
FURLOUGH FUN,George Riley
FURLOUGH FUN,Spike Jones and his Band
THE FOUNTAIN OF FUN,Phil Brito
THE FOUNTAIN OF FUN,The Thrasher Sisters
THE FIRE CHIEF PROGRAM,Ed Wynn
FIFTH ROW CENTER,Simone Simon
FIFTH ROW CENTER,Olan Soule
FOREIGN ASSIGNMENT,Jay Jostyn
FOREIGN ASSIGNMENT,Vicki Viola
FOUR KINGS AND A QUEEN,Keener
FOUR KINGS AND A QUEEN,Whitey Henry
FOUR KINGS AND A QUEEN,Jimmy Skrogie
FOUR KINGS AND A QUEEN,Vickie Barrie
THE FRANK MORGAN SHOW,Cass Dailey
THE FRANK MORGAN SHOW,Eric Blore
THE FIGHTING PARSON,Reverend E.J. Rawlings
FUN FEST,Red Corcoran
FUN FEST,Ken Brown
FUN FEST,The King's Men
THE ADVENTURES OF FATHER BROWN,Karl Swenson
FOUR STAR PLAYHOUSE,Robert Cummings
FOUR STAR PLAYHOUSE,Rosalind Russell
FOUR STAR PLAYHOUSE,Fred MacMurray
THE FRANK PARKER SHOW,Frank Parker
THE FRED WARING SHOW,Fred Waring
FLIT FROLICS,Hal Kanner's Little Band
FLIT FROLICS,Jimmy Atkins
FUN AT BREAKFAST,Ford Bond
FUN AT BREAKFAST,Tom Howard
FUN AT BREAKFAST,George Shelton
THE FIRE CHIEF CONCERT,Donald Novis
THE FIRE CHIEF CONCERT,Gloria Grafton
THE FIRE CHIEF CONCERT,Charles Henderson's Singing Razorbacks
THE CRIME FILES OF FLAMOND,William Everett
THE CRIME FILES OF FLAMOND,Patricia Dunlap
THE FRANK FONTAINE SHOW,Frank Fontaine
THE FRANK FONTAINE SHOW,The Fontaine Children
FAMOUS ROMANCES,William Farnum
FAMOUS ROMANCES,Martha Wentworth
FLIGHT WITH MUSIC,Marion Hutton
FRONTIER THEATER,Joel McCrea
FRESH-UP SHOW,Bert Lahr
THE GREAT GILDERSLEEVE,Harold Peary
THE GREAT GILDERSLEEVE,Willard Waterman
THE GREAT GILDERSLEEVE,Walter Tetley
THE GREAT GILDERSLEEVE,Earle Ross
THE GREAT GILDERSLEEVE,Richard LeGrand
THE GREAT GILDERSLEEVE,Lillian Randolph
GRAND MARQUEE,Jim Ameche
GRAND MARQUEE,Olan Soule
GRAND MARQUEE,Beryl Vaughn
THE GREEN LAMA,Paul Frees
THE GREATEST STORY EVER TOLD,Warren Parker
GOOD NEWS OF 1940,Robert Young
GOOD NEWS OF 1940,Frank Morgan
GOOD NEWS OF 1940,Fanny Brice
GOOD NEWS OF 1940,Hanley Stafford
GOOD NEWS OF 1940,Connee Boswell
THE GORDON MACRAE SHOW,Gordon MacRae
GRANBYâ€_Ã„Ã´S GREEN ACRES,Gale Gordon
GRANBYâ€_Ã„Ã´S GREEN ACRES,Bea Benadaret
GRANBYâ€_Ã„Ã´S GREEN ACRES,Louise Erickson
GRANBYâ€_Ã„Ã´S GREEN ACRES,Parley Baer
FAVORITE SPORTS STORIES OF GRANTLAND RICE,Grantland Rice
